username,timestamp_text,comment_text,cleaned_tokens
@Arabicmaverick,5 months ago,If the universe is infinite... There's an infinite number of all of us doing an infinite number of things wearing an infinite number of clothes being on an infinite number of planets being an infinite number of ages having an infinite number of parents.  I don't thing ppl understand how big infinity is.  Ridiculous 1,"['universe', 'infinite', 'there', 'infinite', 'number', 'infinite', 'number', 'thing', 'wearing', 'infinite', 'number', 'clothes', 'infinite', 'number', 'planet', 'infinite', 'number', 'age', 'infinite', 'number', 'parent', 'dont', 'thing', 'ppl', 'understand', 'big', 'infinity', 'ridiculous']"
@choongcc,1 month ago,"Btw, you ever thought of the universe is like a galaxy, we can visit other universes?","['btw', 'ever', 'thought', 'universe', 'like', 'galaxy', 'visit', 'universe']"
@ScientificEnigmaHub,2 months ago,The universe has been a mystery to me but your video has enlightened me a lot,"['universe', 'mystery', 'video', 'enlightened', 'lot']"
@erikayer2146,1 month ago,"The universe is big enough for all out dreams and our descendant's dreams, as long as they fit into 640k.","['universe', 'big', 'enough', 'dream', 'descendant', 'dream', 'long', 'fit']"
@yawzerdoink-a-sore-as,7 months ago,"Forever is a very long time, especially towards the end 1","['forever', 'long', 'time', 'especially', 'towards', 'end']"
@AmazingAnes,7 months ago,some small corrections: the universe is technically 13.8 billion years old and the radius is 46.5 billion light years in radius.,"['small', 'correction', 'universe', 'technically', 'billion', 'year', 'old', 'radius', 'billion', 'light', 'year', 'radius']"
@royrice8021,3 weeks ago (edited),What you see in the sky at night may not even be there. How many big bangs have there been?,"['see', 'sky', 'night', 'may', 'even', 'many', 'big', 'bang']"
@richstarx,2 weeks ago,Even a hypersphere must be IN something🤷🏽‍♂️,"['even', 'hypersphere', 'must', 'something']"
@Hashi201,12 days ago,"I imagine the universe to be like earth , just 4 dimensional","['imagine', 'universe', 'like', 'earth', 'dimensional']"
@beyondtheuniverse77,4 weeks ago,facts about universe are amazing!,"['fact', 'universe', 'amazing']"
@S00rabh,6 months ago (edited),@8:10 Almost zero is sooo big that if universe was infinite then there are infinite versions of you. Infinite versions of everything you know and can think off. There is a batman version of you somewhere.,"['almost', 'zero', 'sooo', 'big', 'universe', 'infinite', 'infinite', 'version', 'infinite', 'version', 'everything', 'know', 'think', 'batman', 'version', 'somewhere']"
@EugeneHernandez-j6t,3 months ago,I enjoyed the overall vibe. 1,"['enjoyed', 'overall', 'vibe']"
@AmitParopkari,2 months ago,"Infinite  universe and finite universe expanding into something empty (!), both are scary things.","['infinite', 'universe', 'finite', 'universe', 'expanding', 'something', 'empty', 'scary', 'thing']"
@randomizer2240,2 months ago,"The paradox of a finite universe - it has to have a beginning which requires prior stuff. The problem is our reification of time & of our own anthropocentric ideas of finiteness & individuation . As the matter that continuously recreates your cells & the energy that you consume, use, absorb or radiate all existed before being part of you & it continue to exist afterwards. Therefore it must have always existed in some 'form' and been part of some form of a continuous & ever evolving process.","['paradox', 'finite', 'universe', 'beginning', 'requires', 'prior', 'stuff', 'problem', 'reification', 'time', 'anthropocentric', 'idea', 'finiteness', 'individuation', 'matter', 'continuously', 'recreates', 'cell', 'energy', 'consume', 'use', 'absorb', 'radiate', 'existed', 'part', 'continue', 'exist', 'afterwards', 'therefore', 'must', 'always', 'existed', 'form', 'part', 'form', 'continuous', 'ever', 'evolving', 'process']"
@DavidTichEnnis,2 months ago,"""The Paradox of an Infinite Universe""  I thought only I was infinite.  If not, break it to me gently.","['paradox', 'infinite', 'universe', 'thought', 'infinite', 'break', 'gently']"
@hazematthews8592,10 months ago,"My astronomy professor explained it like this. When the big bang happened everything started expanding from everything. Basically if you were to somehow be able to teleport to what we call the edge of the observable universe, that point would have been expanding from everything for the same amount of time as Earth. Essentially there would just be another observably limited sphere around that point like if you were on earth.","['astronomy', 'professor', 'explained', 'like', 'big', 'bang', 'happened', 'everything', 'started', 'expanding', 'everything', 'basically', 'somehow', 'able', 'teleport', 'call', 'edge', 'observable', 'universe', 'point', 'would', 'expanding', 'everything', 'amount', 'time', 'earth', 'essentially', 'would', 'another', 'observably', 'limited', 'sphere', 'around', 'point', 'like', 'earth']"
@Znshwhaad,10 months ago,7:30 just like 1% in a 1m chance your finding your self even its a small percentage but still have a chance just like slot machine you repeatedly keep pushing down the lever untill you get the win. 1,"['like', 'chance', 'finding', 'self', 'even', 'small', 'percentage', 'still', 'chance', 'like', 'slot', 'machine', 'repeatedly', 'keep', 'pushing', 'lever', 'untill', 'get', 'win']"
@matthewlangbroek8847,2 months ago,"me at 8:27 wait... does that not mean that other universes have a change of making a internet so strong with the same video tech, that it can reache our planet and we can talk with other worldly creaturs?","['wait', 'mean', 'universe', 'change', 'making', 'internet', 'strong', 'video', 'tech', 'reache', 'planet', 'talk', 'worldly', 'creaturs']"
@drm4819,7 months ago,Infinity is a duality. We cross over infinities in the physical world between opposites. In-between the crossover is consciousness,"['infinity', 'duality', 'cross', 'infinity', 'physical', 'world', 'opposite', 'inbetween', 'crossover', 'consciousness']"
@josiasrobinson9487,2 months ago,"The infinite universe would be a crossover to the spirit nostalgia development, so the market digital development action would be a return","['infinite', 'universe', 'would', 'crossover', 'spirit', 'nostalgia', 'development', 'market', 'digital', 'development', 'action', 'would', 'return']"
@eragonawesome,8 months ago,"I just want to say, we can absolutely visualize 4d space and what it would look like to us! It takes some effort and practice, but Hypercubist Math has an excellent guide for how to have your own flatlander moment. There are a couple of 4d videogames now, and I'm able to actually understand that space and navigate it as a 3d avatar with a W-axis rotation button. It CAN be done in the same way 3d can be prokected to 2d, and in fact our own vision is 2d because we see flat images, not volumes.","['want', 'say', 'absolutely', 'visualize', 'space', 'would', 'look', 'like', 'take', 'effort', 'practice', 'hypercubist', 'math', 'excellent', 'guide', 'flatlander', 'moment', 'couple', 'videogames', 'able', 'actually', 'understand', 'space', 'navigate', 'avatar', 'waxis', 'rotation', 'button', 'done', 'way', 'prokected', 'fact', 'vision', 'see', 'flat', 'image', 'volume']"
